20,20
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,1,X
U,R
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
WFE,R
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,TKI
GC,0,X
RD,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,1,X
SLE,D
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,RKI
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
GC,0,X
WC,0,X
GC,0,X
GC,0,FBI
GC,0,X
GC,0,X
GC,0,X
WC,0,X
WC,0,X
GC,0,X
GC,0,X
GC,0,X
